word	chosen_tier	also_fits	alternative_split
𐤅𐤑𐤃𐤅𐤒	exact	plene	𐤑𐤃𐤉𐤒
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤊𐤉𐤍	plene	particle	𐤀𐤕 + 𐤉𐤊𐤉𐤍
𐤅𐤉𐤊𐤉𐤍	exact	proclitic	𐤅 + 𐤉𐤊𐤉𐤍
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤀𐤋𐤏𐤆𐤓	adjacent	particle	𐤀𐤕 + 𐤀𐤋𐤏𐤆𐤓
𐤅𐤀𐤋𐤏𐤆𐤓	exact	plene	𐤀𐤋𐤉𐤏𐤆𐤓
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤅𐤌𐤕𐤍	exact	proclitic	𐤅 + 𐤌𐤕𐤍
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤏𐤒𐤁	adjacent	particle	𐤀𐤕 + 𐤉𐤏𐤒𐤁
𐤅𐤉𐤏𐤒𐤁	exact	plene	𐤏𐤒𐤁
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤅𐤎𐤐	adjacent	particle	𐤀𐤕 + 𐤉𐤅𐤎𐤐
𐤁𐤏𐤋	exact	plene	𐤁𐤏𐤋𐤉
𐤌𐤓𐤉𐤌	exact	proclitic	𐤌 + 𐤓𐤉𐤌
𐤌𐤌𐤍𐤄	exact	proclitic	𐤌 + 𐤌𐤍𐤄
𐤄𐤍𐤒𐤓𐤀	exact	proclitic	𐤄 + 𐤍𐤒𐤓𐤀
𐤌𐤔𐤉𐤇	exact	plene	𐤌𐤔𐤇𐤅
𐤅𐤄𐤍𐤄	exact	plene	𐤄𐤍𐤄
𐤁𐤁𐤋	exact	proclitic	𐤁 + 𐤁𐤋
𐤅𐤌𐤏𐤕	exact	plene	𐤌𐤏𐤕
𐤂𐤋𐤅𐤕	exact	plene	𐤂𐤋𐤅𐤕𐤉
