strongs	class	lemma	root_paleo	surface	count
H5066	related	𐤍𐤂𐤔	𐤂𐤉𐤔𐤅	𐤕𐤂𐤉𐤔𐤅	
H5066	related	𐤍𐤂𐤔	𐤂𐤉𐤔𐤅	𐤕𐤂𐤉𐤔𐤅	
H5060	related	𐤍𐤂𐤏	𐤂𐤏𐤅	𐤕𐤂𐤏𐤅	
H5060	related	𐤍𐤂𐤏	𐤂𐤏𐤅	𐤕𐤂𐤏𐤅	
H5066	related	𐤍𐤂𐤔	𐤂𐤔𐤅	𐤕𐤂𐤔𐤅	
H5066	related	𐤍𐤂𐤔	𐤂𐤔𐤅	𐤕𐤂𐤔𐤅	
H5066	related	𐤍𐤂𐤔	𐤂𐤔𐤍	𐤕𐤂𐤔𐤍	
H5087	related	𐤍𐤃𐤓	𐤃𐤅𐤓	𐤕𐤃𐤅𐤓	
H5080	related	𐤍𐤃𐤇	𐤃𐤇𐤅	𐤕𐤃𐤇𐤅	
H5080	related	𐤍𐤃𐤇	𐤃𐤉𐤇	𐤕𐤃𐤉𐤇	
H3045	related	𐤉𐤃𐤏	𐤃𐤏𐤅	𐤕𐤃𐤏𐤅	
H3045	related	𐤉𐤃𐤏	𐤃𐤏𐤅	𐤕𐤃𐤏𐤅	
H3045	related	𐤉𐤃𐤏	𐤃𐤏𐤅	𐤕𐤃𐤏𐤅	
H3045	related	𐤉𐤃𐤏	𐤃𐤏𐤉	𐤕𐤃𐤏𐤉	
H5087	related	𐤍𐤃𐤓	𐤃𐤓𐤅	𐤕𐤃𐤓𐤅	
H7	related	𐤀𐤁𐤃	𐤅𐤁𐤃	𐤕𐤄𐤅𐤁𐤃	
H3046	related	𐤉𐤃𐤏	𐤅𐤃𐤏𐤅𐤍	𐤕𐤄𐤅𐤃𐤏𐤅𐤍	
