SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤆𐤓𐤅𐤏𐤉      H1121     𐤆𐤓𐤅𐤏        H2220     𐤆𐤓𐤅𐤏        subs
  𐤆𐤓𐤌𐤕𐤌      H2231     𐤆𐤓𐤌𐤄        H2229     𐤆𐤓𐤌          subs
  𐤆𐤓𐤏𐤉        H2220     𐤆𐤓𐤅𐤏        H2232     𐤆𐤓𐤏          subs
  𐤆𐤓𐤏𐤕𐤉      H2220     𐤆𐤓𐤅𐤏        H2232     𐤆𐤓𐤏          subs
  𐤇𐤁𐤓𐤅𐤕      H2250     𐤇𐤁𐤅𐤓𐤄      H2266     𐤇𐤁𐤓          subs
  𐤇𐤂𐤓𐤄        H2290     𐤇𐤂𐤅𐤓        H2296     𐤇𐤂𐤓          subs
  𐤇𐤂𐤓𐤕        H2290     𐤇𐤂𐤅𐤓        H2296     𐤇𐤂𐤓          subs
  𐤇𐤅𐤌𐤕𐤄      H1964     𐤄𐤉𐤊𐤋        H2346     𐤇𐤅𐤌𐤄        subs
  𐤇𐤆𐤄          H2370     𐤇𐤆𐤀          H2372     𐤇𐤆𐤄          verb
  𐤇𐤆𐤒𐤕        H2393     𐤇𐤆𐤒𐤄        H2388     𐤇𐤆𐤒          subs
  𐤇𐤈𐤀𐤕        H2403     𐤇𐤈𐤀𐤄        H2398     𐤇𐤈𐤀          subs
  𐤇𐤈𐤀𐤕𐤅      H2403     𐤇𐤈𐤀𐤄        H2398     𐤇𐤈𐤀          subs
  𐤇𐤈𐤀𐤕𐤌      H2403     𐤇𐤈𐤀𐤄        H2398     𐤇𐤈𐤀          subs
  𐤇𐤈𐤁          H7218     𐤓𐤀𐤔          H2404     𐤇𐤈𐤁          verb
  𐤇𐤊𐤌𐤕        H2451     𐤇𐤊𐤌𐤄        H2449     𐤇𐤊𐤌          subs
  𐤇𐤊𐤌𐤕𐤉      H2451     𐤇𐤊𐤌𐤄        H2449     𐤇𐤊𐤌          subs
  𐤇𐤋𐤐𐤕        H2487     𐤇𐤋𐤉𐤐𐤄      H2498     𐤇𐤋𐤐          subs
  𐤇𐤋𐤒𐤕𐤌      H2513     𐤇𐤋𐤒𐤄        H2505     𐤇𐤋𐤒          subs
  𐤇𐤌𐤃𐤕𐤉      H2532     𐤇𐤌𐤃𐤄        H2530     𐤇𐤌𐤃          subs
  𐤇𐤌𐤃𐤕𐤌      H2532     𐤇𐤌𐤃𐤄        H2530     𐤇𐤌𐤃          subs
  𐤇𐤌𐤅𐤃𐤅      H1616     𐤇𐤌𐤅𐤃        H2530     𐤇𐤌𐤃          verb
  𐤇𐤌𐤓𐤉𐤌      H2543     𐤇𐤌𐤅𐤓        H2563     𐤇𐤌𐤓          subs
  𐤇𐤌𐤕𐤊        H2534     𐤇𐤌𐤄          H2573     𐤇𐤌𐤕          subs
  𐤇𐤐𐤆𐤉        H2623     𐤇𐤎𐤉𐤃        H2648     𐤇𐤐𐤆          verb
  𐤇𐤑𐤁𐤉        H3701     𐤊𐤎𐤐          H2672     𐤇𐤑𐤁          verb
  𐤇𐤑𐤄          H2351     𐤇𐤅𐤑          H2673     𐤇𐤑𐤄          subs
  𐤇𐤑𐤅          H1077     𐤁𐤋            H2671     𐤇𐤑            subs
  𐤇𐤓𐤁𐤅𐤕      H2723     𐤇𐤓𐤁𐤄        H2719     𐤇𐤓𐤁          subs
  𐤇𐤓𐤃𐤕        H2731     𐤇𐤓𐤃𐤄        H2729     𐤇𐤓𐤃          subs
  𐤇𐤓𐤐𐤕        H2781     𐤇𐤓𐤐𐤄        H2778     𐤇𐤓𐤐          subs
  𐤇𐤓𐤐𐤕𐤉      H2781     𐤇𐤓𐤐𐤄        H2778     𐤇𐤓𐤐          subs
  𐤇𐤔𐤁𐤕𐤉      H2142     𐤆𐤊𐤓          H2803     𐤇𐤔𐤁          verb
  𐤇𐤔𐤊𐤉        H1801     𐤃𐤋𐤂          H2822     𐤇𐤔𐤊          subs
  𐤇𐤕𐤄          H2865     𐤇𐤕𐤕          H2846     𐤇𐤕𐤄          verb
  𐤇𐤕𐤌          H2368     𐤇𐤅𐤕𐤌        H2856     𐤇𐤕𐤌          subs
  𐤇𐤕𐤍𐤕𐤅      H2861     𐤇𐤕𐤍𐤄        H2859     𐤇𐤕𐤍          subs
  𐤈𐤁𐤇𐤕𐤉      H2878     𐤈𐤁𐤇𐤄        H2873     𐤈𐤁𐤇          subs
  𐤈𐤄𐤓𐤕        H2893     𐤈𐤄𐤓𐤄        H2891     𐤈𐤄𐤓          subs
  𐤈𐤌𐤀𐤕        H2932     𐤈𐤌𐤀𐤄        H2930     𐤈𐤌𐤀          subs
  𐤈𐤌𐤀𐤕𐤌      H2932     𐤈𐤌𐤀𐤄        H2930     𐤈𐤌𐤀          subs
  𐤉𐤁𐤋𐤄        H2981     𐤉𐤁𐤅𐤋        H1086     𐤁𐤋𐤄          subs
  𐤉𐤁𐤍          H1129     𐤁𐤍𐤄          H995      𐤁𐤉𐤍          verb
  𐤉𐤂𐤋          H1540     𐤂𐤋𐤄          H1523     𐤂𐤉𐤋          verb
  𐤉𐤂𐤋𐤌        H1540     𐤂𐤋𐤄          H1563     𐤂𐤋𐤌          verb
  𐤉𐤃𐤓𐤊𐤅      H5414     𐤍𐤕𐤍          H1869     𐤃𐤓𐤊          verb
